cli_codigo,cli_nome,cli_email,cli_compras,fil_codigo,fil_titulo,fil_genero,fil_censura
10,"joao melado",joaoshahahilva@hotmail.com,2,1,"vish que bom",adolescente,18
9,"joao texeira",joaossrsilva@hotmail.com,2,1,"vish que bom",adolescente,18
8,"joao firmonio",joaasasosilva@hotmail.com,2,1,"vish que bom",adolescente,18
7,"joao nome",joaosil34va@hotmail.com,2,1,"vish que bom",adolescente,18
6,"joao alves",joaosdddilva@hotmail.com,2,1,"vish que bom",adolescente,18
5,"joao pinto",joaosilbbbva@hotmail.com,2,1,"vish que bom",adolescente,18
4,"joao ferreira",joaosiaaalva@hotmail.com,2,1,"vish que bom",adolescente,18
3,"joao adalberto",joacccosilva@hotmail.com,2,1,"vish que bom",adolescente,18
2,"joao silva",joaosilva@hotmail.com,2,1,"vish que bom",adolescente,18
1,"joao barros",joaobarros@hotmail.com,1,1,"vish que bom",adolescente,18
10,"joao melado",joaoshahahilva@hotmail.com,2,2,"vish que ruim",jovem,29
9,"joao texeira",joaossrsilva@hotmail.com,2,2,"vish que ruim",jovem,29
8,"joao firmonio",joaasasosilva@hotmail.com,2,2,"vish que ruim",jovem,29
7,"joao nome",joaosil34va@hotmail.com,2,2,"vish que ruim",jovem,29
6,"joao alves",joaosdddilva@hotmail.com,2,2,"vish que ruim",jovem,29
5,"joao pinto",joaosilbbbva@hotmail.com,2,2,"vish que ruim",jovem,29
4,"joao ferreira",joaosiaaalva@hotmail.com,2,2,"vish que ruim",jovem,29
3,"joao adalberto",joacccosilva@hotmail.com,2,2,"vish que ruim",jovem,29
2,"joao silva",joaosilva@hotmail.com,2,2,"vish que ruim",jovem,29
1,"joao barros",joaobarros@hotmail.com,1,2,"vish que ruim",jovem,29
10,"joao melado",joaoshahahilva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
9,"joao texeira",joaossrsilva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
8,"joao firmonio",joaasasosilva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
7,"joao nome",joaosil34va@hotmail.com,2,3,"vish que mais ou menos",jovem,29
6,"joao alves",joaosdddilva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
5,"joao pinto",joaosilbbbva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
4,"joao ferreira",joaosiaaalva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
